id,firstname,lastname,university,university_shortname,university_city,functions,organization,organization_sector
1,Achim,Conzelmann,Uni Bern,UBE,Bern,NA,"PH Bern, Schulrat",Education & research
2,Achim,Conzelmann,Uni Bern,UBE,Bern,NA,Foundation of Talents,"Society, Social, Culture & Sports"
3,Adrian,Vatter,Uni Bern,UBE,Bern,NA,Büro Vatter AG,"Consulting, public relations, legal & trust"
4,Adriano,Marantelli,Uni Bern,UBE,Bern,NA,Curt Rommel Stiftung,Education & research
5,Adriano,Marantelli,Uni Bern,UBE,Bern,NA,Stiftung Archiv für schweizerisches Abgaberecht,"Society, Social, Culture & Sports"
6,Adriano,Marantelli,Uni Bern,UBE,Bern,NA,Vereinsvorstand BEWEST (Weiterbildungsverein),Education & research
7,Alain,Wegmann,ETH Lausanne,EPF,Lausanne,Conseil informatique (non-payé),Aeroport Genève,"Energy, environment & mobility"
8,Alain,Wegmann,ETH Lausanne,EPF,Lausanne,Conseil informatique,"TAG Aviation, Genève","Energy, environment & mobility"
9,Albert,Hafner,Uni Bern,UBE,Bern,NA,Stiftung Charles Neuhaus Biel,"Society, Social, Culture & Sports"
10,Aldo,Steinfeld,ETH Zürich,ETH,Zurich,VR-Mandat,dsolar Ltd.,"Energy, environment & mobility"
11,Aldo,Steinfeld,ETH Zürich,ETH,Zurich,VR-Mandat,Sunbiotec AG (Solar Biofuel technology),"Energy, environment & mobility"
12,Aleksandra,Radenovic,ETH Lausanne,EPF,Lausanne,Sponsored research agreement from Roche,Head of research Roche Sequencing,Pharma & health
13,Alexander,Fust,Uni St. Gallen,USG,Saint Gallen,Dozent,FHS St. Gallen,Education & research
14,Alexander,Widmer,ETH Zürich,ETH,Zurich,Stiftungsrat,Kinderbetreuung im Hochschulraum Zürich (kihz),"Society, Social, Culture & Sports"
15,Alexander,Widmer,ETH Zürich,ETH,Zurich,Stiftungsrat,Stiftung Geobotanisches Forschungsinstitut Rübel,Education & research
16,Alexander,Ilic,Uni St. Gallen,USG,Saint Gallen,Advisory Board,Swiss Energy and Climate Summit,"Energy, environment & mobility"
17,Alexander,Fust,Uni St. Gallen,USG,Saint Gallen,Dozent,CTI-Entrepreneurship,"Commerce, trade & services"
18,Alexander,Ilic,Uni St. Gallen,USG,Saint Gallen,Advisory Board,Swiss Start-up Monitor,"Commerce, trade & services"
19,Alexander,Zimmermann,Uni St. Gallen,USG,Saint Gallen,Mitglied des Beirats,Franz Haniel & Cie. GmbH,Financial industry & insurances
20,Alexander,Ilic,Uni St. Gallen,USG,Saint Gallen,Advisory Board,ETH Entrepreneur Club,"Commerce, trade & services"
21,Alexander,Ilic,Uni St. Gallen,USG,Saint Gallen,Expert Committee,Kommission für Technologie und Innovation,"Politics, administration, justice system & security sector"
22,Alexander,Ilic,Uni St. Gallen,USG,Saint Gallen,"Founder, Chairman, and CTO",Dacuda AG,Technology
23,Alexander,Fust,Uni St. Gallen,USG,Saint Gallen,Fachexperte und Coach für Designer Startups,Creative Hub,"Commerce, trade & services"
24,Alexandre,Blanc,ETH Lausanne,EPF,Lausanne,Architecte EPFL-FAS-SIA,"Bakker & Blanc Architectes, Lausanne","Industry, construction & agriculture"
25,Alexandre,Pouget,Uni Genf,UGE,Geneva,Membre du Scientific Advisory Board,NERF (Leuwen),Pharma & health
26,Alfio,Quarteroni,ETH Lausanne,EPF,Lausanne,Président du conseil d'administration et coordinateur du comité scientifique,"MOXOFF Srl, Milan",Technology
27,Alfred,Wüest,ETH Zürich,ETH,Zurich,Co-Editor,Journal Acquatic Sciences,Media & communication
28,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Conseil scientifique,"Enairys PSE, Lausanne","Energy, environment & mobility"
29,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Conseil scientifique,"Imperix SA, Sion","Energy, environment & mobility"
30,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Expertise,"AERES, Paris",Education & research
31,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Expertise,"ANR, Paris",Education & research
32,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Expertise,"Ministère de la Recherche, Paris",Education & research
33,Alfred,Rufer,ETH Lausanne,EPF,Lausanne,Membre du Comité Electrosuisse,Electrosuisse,"Commerce, trade & services"
34,Alfred,Wüest,ETH Zürich,ETH,Zurich,Externer Reviewer,"Tahoe Environmental Research Facility, UC Davies",Education & research
35,Alfred,Wüest,ETH Zürich,ETH,Zurich,Berater,"Contour Global, New York, für Methan Extraktion Lake Kivu","Energy, environment & mobility"
36,Alfred,Wüest,ETH Zürich,ETH,Zurich,Advisory Board Forschungsstelle Nachhaltige Energie-und Wasserversorgung,Uni Basel,Education & research
37,Ambrogio,Fasoli,ETH Lausanne,EPF,Lausanne,"Editor-in-Chief, Nuclear Fusion Journal","IAEA, Vienna, Austria","Energy, environment & mobility"
38,Anastasia,Ailamaki,ETH Lausanne,EPF,Lausanne,Consulting on data mgmt,"S2P Lion, Germany",Not classifiable
39,Anders,Hagfeldt,ETH Lausanne,EPF,Lausanne,Board Member,"Dyenamo AB, Start-up, Stockholm","Energy, environment & mobility"
40,Anders,Hagfeldt,ETH Lausanne,EPF,Lausanne,"Visiting Professor, Physical Chemistry","Department of Chemistry, Angström, Uppsala University, Sweden",Education & research
41,Anders,Hagfeldt,ETH Lausanne,EPF,Lausanne,"Visiting Professor, Energy Research Institute","Nanyang Technological University, Singapore",Education & research
42,Anders,Hagfeldt,ETH Lausanne,EPF,Lausanne,"Distinguished Adjunct Professor, Chemistry","King Abdulaziz University, Saudi Arabia",Education & research
43,Anders,Hagfeldt,ETH Lausanne,EPF,Lausanne,Chairman of the Committee for Development Research,Swedish Research Council,Education & research
44,Anders,Meibom,ETH Lausanne,EPF,Lausanne,Chairman of the Board,"Institute of Translational Molecular Imaging Foundation, Genève",Education & research
45,Andrea,Rinaldo,ETH Lausanne,EPF,Lausanne,Board Member,European Professional Club Rugby (CH),"Society, Social, Culture & Sports"
46,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,"Beirätin, Beratung",CID GmbH,Technology
47,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Beirätin,Crosswalk AG,"Consulting, public relations, legal & trust"
48,Andrea,Rinaldo,ETH Lausanne,EPF,Lausanne,"Secretary, Class of Sciences","Istituto Veneto di Scienze, Lettere e Arti (IT)",Education & research
49,Andrea,Rinaldo,ETH Lausanne,EPF,Lausanne,"Chair of hydraulic constructions, part-time (10%)","Università di Padova, Italie",Education & research
